username,tweets_count,followers_count,following_count
cnnbrk,70873,57917417,120.0
shakira,6947,52301165,211.0
Twitter,13657,58108124,1.0
YouTube,26263,72393767,1114.0
rihanna,10483,97113943,1044.0
ddlovato,17107,55825693,
ladygaga,9236,81638490,122750.0
Cristiano,3540,85254602,51.0
katyperry,10708,108567349,224.0
selenagomez,4675,61221982,1124.0
jtimberlake,4248,64641164,303.0
BarackObama,15825,119016815,605527.0
narendramodi,26746,57986334,2361.0
ArianaGrande,46511,74488482,59184.0
TheEllenShow,21928,80179849,27450.0
justinbieber,31060,111912406,298663.0
britneyspears,5658,56105268,377000.0
KimKardashian,32382,65380836,125.0
taylorswift13,464,86400408,
realDonaldTrump,52289,81547847,46.0
